id,url,type,purpose,area,bedroom,bath,added,price,location,location_city,source
1,https://www.zameen.com/Property/askari_askari_11_flat_available_for_sale_in_askari_11_lahore-53612249-1503-1.html,Flat,For Sale,10 Marla,3,3,33 minutes ago,PKR 3 Crore,"Askari 11, Askari",Lahore,Zameen
2,https://www.zameen.com/Property/gulberg_3_gulberg_3_-_block_m_2_kanal_8_marla_rare_opportunity_to_own_a_prestigious_property_in_the_heart_of_m_block_gulberg_iii_lahore-54418634-3843-1.html,Other,For Sale,2.4 Kanal,6,7,1 hour ago,PKR 15.5 Crore,"Gulberg 3 - Block M, Gulberg 3",Lahore,Zameen
3,https://www.zameen.com/Property/dha_phase_5_penta_square_by_dha_lahore_superb_view_furnished_luxurious_3_beds_apartment_for_sale_in_dha_phase_5-54644497-11845-1.html,Apartment,For Sale,9.8 Marla,3,4,3 hours ago,PKR 6.95 Crore,"Penta Square By DHA Lahore, DHA Phase 5",Lahore,Zameen
4,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_your_next_chapter_begins_here_beautiful_1_kanal_house-54676669-1632-1.html,House,For Sale,1 Kanal,5,7,3 hours ago,PKR 14.5 Crore,"DHA Phase 7 - Block Y, DHA Phase 7",Lahore,Zameen
5,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_u_premium_1_kanal_fully_furnished_luxury_house_in_phase-7_for_sale-54636909-1628-1.html,House,For Sale,1 Kanal,5,6,3 hours ago,PKR 14.5 Crore,"DHA Phase 7 - Block U, DHA Phase 7",Lahore,Zameen
6,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_10_marla_3_bed_new_design_flat_available_for_sale-54573697-15703-1.html,Flat,For Sale,10 Marla,3,3,3 minutes ago,PKR 3.3 Crore,"Askari 11 - Sector B Apartments, Askari 11",Lahore,Zameen
7,https://www.zameen.com/Property/askari_askari_12_12_marla_brand_new_apratment_for_sale-54640460-22537-1.html,Other,For Sale,12 Marla,4,4,3 minutes ago,PKR 3.9 Crore,"Askari 12, Askari",Lahore,Zameen
8,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_13_marla_4_bedrooms_new_design_flat_for_sale-54644854-15703-1.html,Room,For Sale,13 Marla,4,4,3 minutes ago,PKR 4.65 Crore,"Askari 11 - Sector B Apartments, Askari 11",Lahore,Zameen
9,https://www.zameen.com/Property/dha_defence_dha_phase_6_inside_1-kanal_classic_masterpiece_in_dha_phase_6_lahore-54404102-1448-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 8.99 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
10,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_classic_villa_for_sale_in_dha_phase_7_lahore-54629164-1450-1.html,Villa,For Sale,1 Kanal,4,5,1 hour ago,PKR 7.5 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
11,https://www.zameen.com/Property/lahore_wapda_town_1_kanal_brand_new_first_entry_ultra_modern_style_luxury_stylish_house_available_for_sale_in_wapda_town_phase_1_lahore_by_fast_property_services_with_original_pics-54055292-423-1.html,House,For Sale,1 Kanal,7,6,1 hour ago,PKR 9.6 Crore,"Wapda Town, Lahore",Lahore,Zameen
12,https://www.zameen.com/Property/lahore_johar_town_10_marla_vip_brand_new_ultra_modern_style_double_storey_stylish_house_available_for_sale_in_johar_town_phase_1_lahore_by_fast_property_services_real_estate_n_builders_lahore-54057726-93-1.html,House,For Sale,10 Marla,5,6,1 hour ago,PKR 5.25 Crore,"Johar Town, Lahore",Lahore,Zameen
13,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_10_marla_new_design_flat_available_for_sale-54679385-15703-1.html,Flat,For Sale,10 Marla,3,3,2 minutes ago,PKR 3.1 Crore,"Askari 11 - Sector B Apartments, Askari 11",Lahore,Zameen
14,https://www.zameen.com/Property/askari_askari_12_12_marla_brand_new_flat_for_sale_at_investor_price-54573809-22537-1.html,Flat,For Sale,12 Marla,4,4,3 minutes ago,PKR 4 Crore,"Askari 12, Askari",Lahore,Zameen
15,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_a_luxury_apartment_available_on_sale_with_ground_parking-54663409-15703-1.html,Apartment,For Sale,10 Marla,3,3,4 minutes ago,PKR 3.8 Crore,"Askari 11 - Sector B Apartments, Askari 11",Lahore,Zameen
16,https://www.zameen.com/Property/askari_askari_12_brand_new_apartment_available_here_for_sale-54663475-22537-1.html,Apartment,For Sale,12 Marla,4,4,4 minutes ago,PKR 4.2 Crore,"Askari 12, Askari",Lahore,Zameen
17,https://www.zameen.com/Property/eden_eden_residencia_3_25_marla_eden_residencia-54629717-3100-1.html,Other,For Sale,3.2 Marla,4,4,20 minutes ago,PKR 1.7 Crore,"Eden Residencia, Eden",Lahore,Zameen
18,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_ready-to-move_1_bed_apartment_for_sale_prime_location-54692597-1802-1.html,Apartment,For Sale,2.2 Marla,1,1,26 minutes ago,PKR 72 Lakh,"Bahria Town - Sector E, Bahria Town",Lahore,Zameen
19,https://www.zameen.com/Property/askari_askari_11_10_marla_house_is_available_for_sale_in_askari_11_lahore-53567244-1503-1.html,House,For Sale,10 Marla,4,5,31 minutes ago,PKR 5.25 Crore,"Askari 11, Askari",Lahore,Zameen
20,https://www.zameen.com/Property/nespak_housing_scheme_nespak_scheme_phase_2_2_kanal_house_for_sale-54692592-4078-1.html,House,For Sale,2 Kanal,6,6,33 minutes ago,PKR 9.9 Crore,"Nespak Scheme Phase 2, Nespak Housing Scheme",Lahore,Zameen
21,https://www.zameen.com/Property/askari_askari_11_fully_furnished_luxury_2-bed_apartment_in_askari_11_lahore_prime_location_premium_lifestyle_high_rental_yield-54387478-1503-1.html,Apartment,For Sale,5.6 Marla,2,2,52 minutes ago,PKR 2.6 Crore,"Askari 11, Askari",Lahore,Zameen
22,https://www.zameen.com/Property/dha_defence_dha_phase_3_syed_brothers_proudly_offers_1-kanal_elegant_and_fully_maintained_old_bungalow_is_available_in_the_best_block_of_dha_lahore-54358381-1454-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 8.25 Crore,"DHA Phase 3, DHA Defence",Lahore,Zameen
23,https://www.zameen.com/Property/dha_defence_dha_phase_4_syed_brothers_proudly_offers_1-kanal_elegant_and_fully_maintained_bungalow_is_available_in_the_best_block_of_dha_lahore-54358391-1446-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 8.5 Crore,"DHA Phase 4, DHA Defence",Lahore,Zameen
24,https://www.zameen.com/Property/dha_defence_dha_phase_1_syed_brothers_proudly_offers_1-kanal_elegant_and_fully_maintained_bungalow_is_available_in_the_best_block_of_dha_lahore-54358398-1442-1.html,Other,For Sale,1 Kanal,5,6,1 hour ago,PKR 6.5 Crore,"DHA Phase 1, DHA Defence",Lahore,Zameen
25,https://www.zameen.com/Property/dha_defence_dha_phase_7_syed_brothers_proudly_offers_22-marla_elegant_and_fully_furnished_owner_build_corner_bungalow_is_available_in_the_best_block_of_dha_lahore-54358402-1450-1.html,Other,For Sale,1.1 Kanal,6,7,1 hour ago,PKR 9.5 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
26,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_c_brand_new_5_marla_luxury_house_for_sale_in_dha_9_town_prime_location_near_park_commercial_modern_design_best_investment_opportunity-54647215-8175-1.html,House,For Sale,5 Marla,3,4,4 hours ago,PKR 2.6 Crore,"DHA 9 Town - Block C, DHA 9 Town",Lahore,Zameen
27,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_b_brand_new_modern_house_for_sale_in_dha_phase_9_town-54664704-8174-1.html,House,For Sale,5 Marla,3,4,4 hours ago,PKR 2.85 Crore,"DHA 9 Town - Block B, DHA 9 Town",Lahore,Zameen
28,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_modern_design_house_for_sale_in_dha_phase_lahore-54663983-1450-1.html,House,For Sale,1 Kanal,5,6,4 hours ago,PKR 9.7 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
29,https://www.zameen.com/Property/dha_defence_dha_phase_6_corner_house_brand_new_modern_house_for_sale_in_dha_phase_6-54663976-1448-1.html,House,For Sale,1 Kanal,5,6,4 hours ago,PKR 11.25 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
30,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_u_brand_new_modern_house_for_sale_in_dha_phase_7-54679384-1628-1.html,House,For Sale,1 Kanal,5,6,4 hours ago,PKR 9.5 Crore,"DHA Phase 7 - Block U, DHA Phase 7",Lahore,Zameen
31,https://www.zameen.com/Property/dha_defence_dha_phase_2_lavish_ready-to-shift_home_offering_luxury_comfort_smart_energy_42kv_solar-54192763-1444-1.html,Other,For Sale,2 Kanal,6,7,1 hour ago,PKR 20.99 Crore,"DHA Phase 2, DHA Defence",Lahore,Zameen
32,https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_-_nargis_block_brand_new_1_kanal_beautiful_house_available_for_sale-53544168-3540-1.html,House,For Sale,1 Kanal,6,7,2 hours ago,PKR 15 Crore,"Allama Iqbal Town - Nargis Block, Allama Iqbal Town",Lahore,Zameen
33,https://www.zameen.com/Property/dha_defence_dha_phase_7_most_elegant_ultra_modern_10_marla_designer_house_available_for_sale_near_to_defence_raya_golf_course-54501028-1450-1.html,House,For Sale,10 Marla,4,5,4 hours ago,PKR 4.75 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
34,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_luxury_house_for_sale_in_dha_lahore-54153741-1448-1.html,House,For Sale,1 Kanal,5,6,4 hours ago,PKR 10 Crore,"DHA Phase 6, DHA Defence",Lahore,Zameen
35,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_ultra_luxury_house_for_sale_in_the_heart_of_dha-54153757-1450-1.html,House,For Sale,1 Kanal,5,6,4 hours ago,PKR 8 Crore,"DHA Phase 7, DHA Defence",Lahore,Zameen
36,https://www.zameen.com/Property/lahore_wapda_town_1_kanal_ultra_modern_style_double_storey_luxery_stylish_house_available_for_sale-54456797-423-1.html,House,For Sale,1 Kanal,6,6,1 hour ago,PKR 8.8 Crore,"Wapda Town, Lahore",Lahore,Zameen
37,https://www.zameen.com/Property/lahore_iep_engineers_town_1_kanal_ultra_modern_house_available_for_sale_in_engineering_town_well_hot_location_lahore-54487411-8425-1.html,House,For Sale,1 Kanal,6,6,1 hour ago,PKR 6.4 Crore,"IEP Engineers Town, Lahore",Lahore,Zameen
38,https://www.zameen.com/Property/eden_eden_residencia_6_75_marla_corner_house_eden_residencia-54629780-3100-1.html,House,For Sale,6.8 Marla,3,4,20 minutes ago,PKR 2.9 Crore,"Eden Residencia, Eden",Lahore,Zameen
39,https://www.zameen.com/Property/lahore_khayaban-e-amin_5_marla_model_house_khayaban_e_amin-54644116-1514-1.html,House,For Sale,5 Marla,3,4,21 minutes ago,PKR 1.5 Crore,"Khayaban-e-Amin, Lahore",Lahore,Zameen
40,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_iqbal_block_ready_to_move_studio_apartment_for_sale_in_prime_location_i_multiple_options-54613516-1805-1.html,Apartment,For Sale,1.3 Marla,,1,25 minutes ago,PKR 45 Lakh,"Bahria Town - Iqbal Block, Bahria Town - Sector E",Lahore,Zameen
41,https://www.zameen.com/Property/nsit_city_zameen_eon_own_a_studio_apartment_at_zameen_eon_invest_in_eon_earn_pkr_214_000_month_the_future_of_luxury_living_in_lahore-54328871-22334-1.html,Apartment,For Sale,2 Marla,,1,50 minutes ago,PKR 2.14 Crore,"Zameen EON, NSIT City",Lahore,Zameen
42,https://www.zameen.com/Property/tip_housing_society_tip_housing_society_-_phase_2_1_kanal_single_storey_house_near_dha_11_rahabar-53813803-14059-1.html,House,For Sale,1 Kanal,3,4,1 hour ago,PKR 3.8 Crore,"TIP Housing Society - Phase 2, TIP Housing Society",Lahore,Zameen
