id,url,type,purpose,area,bedroom,bath,added,price,location,location_city,source
510,https://www.zameen.com/Property/dha_phase_7_sehar_commercial_area_corner_masterpiece_executive_2-bedroom_bungalow-facing_apartment_for_rent_in_sehar_commercial_dha_phase_7-54010283-8489-1.html,Room,For Rent,106 Sq. Yd.,2,2.0,1 hour ago,PKR 1.7 Crore,"Sehar Commercial Area, DHA Phase 7",Karachi,Zameen
796,https://www.zameen.com/Property/e_11_e-11_4_e-11_4_makkah_tower_1_bedroom_apartment_available_for_rent-54692537-3241-1.html,Room,For Rent,4 Marla,1,1.0,1 hour ago,PKR 1.18 Crore,"E-11/4, E-11",Islamabad,Zameen
2237,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_1_kanal_luxury_modern_design_house_for_rent_in_dha_phase_6_lahore_near_to_dolmen_mall-54626650-1619-4.html,House,For Rent,1 Kanal,5,6.0,4 hours ago,PKR 3.25 Lakh,"DHA Phase 6 - Block K, DHA Phase 6",Lahore,Zameen
2238,https://www.zameen.com/Property/dha_defence_dha_9_town_ulta_modren_brand_new_house_available_for_rent_in_dha_9_town_lahore-54664605-1452-4.html,House,For Rent,5 Marla,3,3.0,5 hours ago,PKR 1.15 Lakh,"DHA 9 Town, DHA Defence",Lahore,Zameen
2239,https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_house_for_rent_dha_phase_5_9_kv_solar_install-54625316-1447-4.html,House,For Rent,10 Marla,4,5.0,12 hours ago,PKR 2.7 Lakh,"DHA Phase 5, DHA Defence",Lahore,Zameen
2240,https://www.zameen.com/Property/dha_defence_dha_phase_1_2_kanal_facing_park_house_for_rent-54689150-1442-4.html,House,For Rent,2 Kanal,,,12 hours ago,PKR 5.5 Lakh,"DHA Phase 1, DHA Defence",Lahore,Zameen
2241,https://www.zameen.com/Property/dha_defence_dha_phase_5_1_kanal_fully_furnished_most_beautiful_design_bungalow_for_sale_at_prime_location_of_dha_phase_5_for_rent-54689342-1447-4.html,Other,For Rent,1 Kanal,5,7.0,12 hours ago,PKR 4.5 Lakh,"DHA Phase 5, DHA Defence",Lahore,Zameen
2242,https://www.zameen.com/Property/dha_defence_dha_phase_3_full_house_for_rent_in_dha_phase_3_vip_location_5_bed_attach_bath_tv_lough_double_kitchen_fully_furnished-54263584-1454-4.html,House,For Rent,1 Kanal,5,6.0,4 hours ago,PKR 4.5 Lakh,"DHA Phase 3, DHA Defence",Lahore,Zameen
2243,https://www.zameen.com/Property/askari_askari_11_5_marla_2bed_family_apartments_are_available_for_rent_in_sector-c-54291685-1503-4.html,Apartment,For Rent,5 Marla,2,2.0,5 hours ago,PKR 53 Thousand,"Askari 11, Askari",Lahore,Zameen
2244,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_d_well_maintained_one_kanal_renovated_beautiful_bungalow_near_big_park_posh_area-53516734-1601-4.html,Other,For Rent,1 Kanal,5,6.0,7 hours ago,PKR 3.25 Lakh,"DHA Phase 5 - Block D, DHA Phase 5",Lahore,Zameen
2245,https://www.zameen.com/Property/dha_defence_dha_phase_5_live_the_premium_lifestyle_stunning_one_kanal_modern_bungalow_steps_away_from_park_and_market-53471308-1447-4.html,Other,For Rent,1 Kanal,5,6.0,7 hours ago,PKR 3.5 Lakh,"DHA Phase 5, DHA Defence",Lahore,Zameen
2246,https://www.zameen.com/Property/dha_defence_dha_phase_6_top_of_line_one_kanal_bungalow_situated_at_most_prime_location_once_visit_for_rent-47137304-1448-4.html,Other,For Rent,1 Kanal,5,6.0,7 hours ago,PKR 3.65 Lakh,"DHA Phase 6, DHA Defence",Lahore,Zameen
2247,https://www.zameen.com/Property/dha_defence_dha_phase_5_1_kanal_brand_new_full_luxury_house_available_for_rent_in_dha_phase_5-50076470-1447-4.html,House,For Rent,1 Kanal,5,6.0,3 hours ago,PKR 3 Lakh,"DHA Phase 5, DHA Defence",Lahore,Zameen
2248,https://www.zameen.com/Property/dha_defence_dha_phase_3_10_marla_beautiful_house_for_rent_with_basement_in_dha_phase_3_lahore-50653973-1454-4.html,House,For Rent,10 Marla,4,5.0,3 hours ago,PKR 1.8 Lakh,"DHA Phase 3, DHA Defence",Lahore,Zameen
2249,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_t_1_kanal_elegant_and_semi_furnished_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_lahore-54564704-1627-4.html,Other,For Rent,1 Kanal,5,6.0,1 hour ago,PKR 3.5 Lakh,"DHA Phase 7 - Block T, DHA Phase 7",Lahore,Zameen
2250,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_d_1_kanal_elegant_and_slightly_used_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_lahore-54564706-1613-4.html,Other,For Rent,1 Kanal,5,6.0,1 hour ago,PKR 4.99 Lakh,"DHA Phase 6 - Block D, DHA Phase 6",Lahore,Zameen
