Bedroom,Bath,Area_sqft,Log_area_sqft,Area_per_bedroom,Bath_bedroom_ratio,Location_median_ppsf,Type_target_enc,City_target_enc,Source_OLX,Price_pkr,Log_price
2.0,2.5,1800.0,7.495541944,900.0,1.25,36111.11111,18.95005811818182,17.38481072169611,1,260000000,19.37619219
2.0,2.0,816.75,6.70533305,408.375,1.0,19283.74656,16.74009781756667,17.63082525563043,0,74000000,18.11957565
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,14386.287115,18.00816093799353,17.2241481738,0,18500000,16.73328129
10.0,5.0,33759.0,10.42700233,3375.9,0.5,51067.863385,17.52449479365033,17.63082525563043,0,1650000000,21.22404112
1.0,1.0,1000.0,6.907755279,1000.0,1.0,19283.74656,16.74009781756667,17.63082525563043,1,30000000,17.21670794
5.0,6.0,5445.0,8.602453035,1089.0,1.2,17171.71717,17.52449479365033,17.48107115846154,0,112500000,18.53846378
6.0,7.0,2160.0,7.677863501,360.0,1.166666667,41851.85185,17.52449479365033,17.38481072169611,1,66500000,18.01271251
5.0,5.0,2178.0,7.686162303,435.6,1.0,11019.28375,17.52449479365033,17.0930370689899,0,24000000,16.99356439
2.0,2.0,980.1,6.887654607,490.05,1.0,19283.74656,16.74009781756667,17.63082525563043,0,10800000,16.19505669
5.0,7.0,5445.0,8.602453035,1089.0,1.4,15861.09024,17.52449479365033,17.48107115846154,1,89000000,18.30414693
5.0,6.0,2722.5,7.909305855,544.5,1.2,19283.74656,17.52449479365033,17.63082525563043,0,58000000,17.87595357
7.0,7.0,3865.95,8.259962726,552.2785714,1.0,43503.21395999999,17.52449479365033,17.63082525563043,0,220000000,19.2091381
3.0,4.0,1034.55,6.941721829,344.85,1.333333333,18365.47291,17.52449479365033,17.30474131619205,0,15500000,16.55635058
2.0,3.0,1197.9,7.088325303,598.95,1.5,13957.75941,17.30156670857143,17.2241481738,0,28600000,17.16891728
3.0,3.0,816.75,6.70533305,272.25,1.0,15865.299925,17.52449479365033,17.48107115846154,1,11000000,16.21340583
5.0,6.0,5445.0,8.602453035,1089.0,1.2,16988.06244,18.00816093799353,17.48107115846154,0,90000000,18.31532023
5.0,6.0,5445.0,8.602453035,1089.0,1.2,15861.09024,18.00816093799353,17.48107115846154,0,89900000,18.3142085
5.0,6.0,5445.0,8.602453035,1089.0,1.2,18365.47291,17.52449479365033,17.30474131619205,0,85000000,18.25816181
7.0,6.0,5445.0,8.602453035,777.8571429,0.857142857,21120.29385,17.52449479365033,17.63082525563043,0,85000000,18.25816181
0.0,0.0,2722.5,7.909305855,2722.5,0.0,15861.09024,16.7407250003125,17.48107115846154,1,20400000,16.83104546
