url,type,purpose,area,bedroom,bath,added,price,location,location_city,source
https://www.olx.com.pk/item/85-marla-ultra-modern-luxery-stylish-house-available-for-sale-in-architect-society-lahore-near-johertown-lahore-by-fast-property-services-iid-1117178112,House,For Sale,"1,913 SQFT",5,6,1 week ago,Rs 3.90 Crore,"Architects Engineers Housing Society, Lahore",Lahore,OLX
https://www.olx.com.pk/item/corner-plot-canal-city-ex-rail-town-near-dha-eme-iid-1118018781,Plot,For Sale,"2,650 SQFT",,,2 weeks ago,Rs 2.75 Crore,"Rail Town (Canal City), Lahore",Lahore,OLX
https://www.olx.com.pk/item/hot-location-1-kanal-plot-for-sale-in-g-block-valencia-town-lahore-iid-1117467034,Plot,For Sale,20 Marla,,,4 days ago,Rs 3.90 Crore,"Valencia Town, Lahore",Lahore,OLX
https://www.olx.com.pk/item/10-marla-house-for-sale-in-dha-phase-11-rehbar-sector-1-iid-1118459834,House,For Sale,10 Marla,4,5,1 week ago,Rs 5.60 Crore,"DHA 11 Rahbar Phase 1 - Block E, Lahore",Lahore,OLX
https://www.olx.com.pk/item/for-sale-dha-phase-9prism-block-g-closer-to-plot-no-299-located-on-60ft-road-iid-1118505617,Plot,For Sale,20 Marla,,,1 week ago,Rs 3.85 Crore,"DHA Phase 9 Prism - Block G, Lahore",Lahore,OLX
https://www.olx.com.pk/item/3-marla-residential-plot-block-a-union-town-lahore-at-prime-and-hot-location-iid-1117877069,Residential Plot,For Sale,3 Marla,,,2 weeks ago,Rs 74.95 Lacs,"Union Town - Block A, Lahore",Lahore,OLX
https://www.olx.com.pk/item/5-marla-residential-possession-plot-for-sale-in-al-kabir-phase-2-raiwind-road-lahore-iid-1118542801,Plot,For Sale,5 Marla,,,2 days ago,Rs 78 Lacs,"Al-Kabir Town - Phase 2, Lahore",Lahore,OLX
https://www.olx.com.pk/item/20-kanals-farmhouse-in-jahman-iid-1117407753,House,For Sale,20 Kanal,2,3,3 weeks ago,Rs 10 Crore,"Bedian Road, Lahore",Lahore,OLX
https://www.olx.com.pk/item/1-kanal-plot-for-sale-in-q-block-khayaban-e-amin-society-lahore-iid-1116481063,Plot,For Sale,1 Kanal,,,3 days ago,Rs 1.25 Crore,"Khayaban-e-Amin - Block Q, Lahore",Lahore,OLX
https://www.olx.com.pk/item/5-marla-residential-possession-plot-at-hot-location-in-park-view-city-lahore-for-discounted-price-and-original-pictures-download-the-app-signature-lands-iid-1118789194,Plot,For Sale,5 Marla,,,26 minutes ago,Rs 70 Lacs,"Park View City - Tulip Overseas, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-zone3-95-on-150-feet-wide-road-commercial-plot-located-in-the-best-block-of-dha-lahore-iid-1118788996,Commercial Plot,For Sale,4 Marla,,,46 minutes ago,Rs 9 Crore,"DHA Phase 9 Prism - Commercial Zone 3, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-zone3-43-on-80-feet-wide-road-commercial-plot-located-in-the-best-block-of-dha-lahore-iid-1118788992,Commercial Plot,For Sale,8 Marla,,,47 minutes ago,Rs 9 Crore,"DHA Phase 9 Prism - Commercial Zone 3, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-zone1-180-commercial-plot-located-in-the-best-block-of-dha-lahore-iid-1118788991,Commercial Plot,For Sale,8 Marla,,,47 minutes ago,Rs 13 Crore,"DHA Phase 9 Prism - Commercial Zone 1, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-r-3725-3726-pair-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788990,Residential Plot,For Sale,10 Marla,,,47 minutes ago,Rs 2.10 Crore,"DHA Phase 9 Prism - Block R, Lahore",Lahore,OLX
